ORIGIN_CITY_NAME, Latitude , Longitude , Pax_total , Freight_lbs , Mail_lbs , Pax_Miles_mi , Dep_Delays , Dep_Canx 
"Atlanta, GA",33.769805,-84.414581,"49,346,486","199,276,210","55,142,605","47,922,152,650","4,716",263
"Chicago, IL",41.87897,-87.66063,"47,185,936","353,662,744","67,693,226","58,723,177,950","8,837","1,354"
"New York, NY",40.68295,-73.9708,"42,283,356","587,903,393","34,100,628","88,724,047,756","3,996","1,344"
"Los Angeles, CA",34.05513,-118.25703,"36,460,549","626,448,959","70,511,948","84,558,616,577","2,968",251
"Dallas/Fort Worth, TX",32.729442,-97.33181,"31,598,838","146,013,950","25,872,751","37,385,992,946","6,561",599
"Houston, TX",29.784753,-95.361416,"26,576,690","200,352,895","44,806,549","33,835,044,865","1,069",75
"Denver, CO",39.740959,-104.985798,"26,279,511","34,588,620","20,398,267","25,952,156,841","5,031",273
"San Francisco, CA",37.778008,-122.431272,"24,234,988","239,260,102","60,476,088","53,510,035,628","2,518",294
"Phoenix, AZ",33.60503,-112.070892,"22,017,254","32,890,517","34,116,494","23,512,696,442","2,421",90
"Charlotte, NC",35.19534,-80.81711,"21,912,697","28,750,281","23,448,275","16,259,163,069","1,412",129
"Las Vegas, NV",36.190364,-115.279104,"21,714,837","34,924,108","6,565,002","25,875,400,278","2,217",87
"Washington, DC",38.912097,-77.014683,"21,642,957","144,605,752","14,839,118","30,873,188,101","1,864",409
"Miami, FL",25.766368,-80.210268,"21,037,769","309,121,375","26,292,201","35,436,622,696","1,540",133
"Seattle, WA",47.673455,-122.331537,"20,185,012","130,013,533","16,116,921","30,177,411,630","1,439",58
"Orlando, FL",28.41959,-81.293691,"18,766,821","42,651,920","3,229,877","22,173,103,583","1,936",189
"Newark, NJ",40.718707,-74.185043,"18,704,531","144,101,299","42,233,621","35,330,779,898","2,012",659
"Minneapolis, MN",44.96313,-93.266563,"17,633,985","32,338,820","28,211,370","18,019,871,360","1,540",110
"Boston, MA",42.355492,-71.048611,"16,348,533","86,989,122","11,090,952","22,709,587,436","1,554",648
"Detroit, MI",42.398649,-83.164515,"16,260,059","59,198,480","18,434,804","17,806,550,427","1,828",201
"Philadelphia, PA",39.990821,-75.168428,"15,103,856","67,561,436","13,682,793","17,329,047,128","1,098",300
